               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.034423,             0.26027,                   0,             0.92606,             0.90357,             0.93611,             0.53553,            0.036394,             0.21547,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03531,             0.26251,                   0,             0.92958,             0.90318,             0.93789,             0.54323,            0.035968,             0.21348,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.035067,             0.25709,                   0,              0.9309,             0.90383,             0.93612,             0.53106,            0.036536,             0.21522,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.034666,             0.25424,                   0,             0.92099,             0.90699,             0.93453,             0.52854,            0.037074,             0.21561,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.035426,             0.27076,                   0,             0.91999,             0.90712,             0.93338,             0.52966,            0.036762,             0.21617,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.034863,             0.26651,                   0,             0.92014,             0.91101,             0.93737,              0.5419,            0.036128,             0.21612,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.034493,             0.25921,                   0,             0.92544,             0.91058,             0.94082,             0.54387,            0.036013,             0.21428,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.033889,             0.25723,                   0,             0.92939,              0.9037,             0.93608,             0.54044,            0.036218,              0.2142,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.034965,             0.30061,                   0,             0.92771,             0.90712,               0.936,             0.54015,            0.036206,             0.21487,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.03414,              0.2413,                   0,             0.92551,              0.9089,             0.93462,             0.53756,            0.036357,             0.21506,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.034635,             0.26512,                   0,             0.92639,             0.90649,             0.93649,             0.53404,            0.036557,             0.21537,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.034871,             0.25318,                   0,             0.92973,             0.90864,             0.93921,             0.54682,             0.03592,             0.21422,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.033917,             0.25409,                   0,             0.92922,             0.90323,             0.93783,             0.54213,            0.036208,             0.21531,                   0,            0.001981,            0.001981,            0.001981
                  83,              0.0348,             0.26603,                   0,             0.93222,             0.90801,              0.9398,             0.54708,            0.035923,             0.21532,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.034189,             0.26053,                   0,             0.93416,             0.90826,             0.94212,             0.54845,            0.035774,             0.21391,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.034867,              0.2591,                   0,             0.93351,             0.91257,             0.94259,             0.55018,            0.035853,             0.21494,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.034509,             0.25327,                   0,             0.92754,              0.9127,             0.93843,             0.54327,            0.036164,             0.21647,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.033449,             0.25154,                   0,             0.92675,             0.91168,             0.93738,             0.54254,            0.036106,             0.21594,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.034217,             0.25086,                   0,             0.92931,             0.91454,             0.93983,             0.54188,            0.036068,             0.21395,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.034171,              0.2603,                   0,             0.93091,             0.91067,             0.94089,             0.53943,            0.036312,             0.21508,                   0,            0.001288,            0.001288,            0.001288
